baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
22836	8374.26624989189	-0.308784973209257	0.0911689282930285	-3.38695407515138	0.00070673217090623	0.0579265701883323
7532	4995.46377677421	-0.106892991220536	0.0315743744510544	-3.38543496360436	0.000710655474006503	0.0579869372422526
79624	500.435084158359	-0.248801471385701	0.0736578823842167	-3.37779832018377	0.000730686490374438	0.0593552293698807
53344	275.506317384657	0.278354596418712	0.0826690746527663	3.36709461897186	0.000759646197066642	0.0614334320081094
11235	599.325899902522	-0.222195630309486	0.0660755674231568	-3.36275024150024	0.000771701480669965	0.0621322130188968
55117	95.8909328098731	0.73765248768364	0.219470972357787	3.36104806826618	0.000776473110900407	0.0622409899821313
8764	230.424158745096	0.470156885423498	0.140396428444685	3.34878095284835	0.000811679398084136	0.06477771196289
84166	424.084332258539	0.437104787664261	0.130631642446629	3.34608659492929	0.000819607950748095	0.0651248308812766
900	3562.57890788212	0.246762600075786	0.0738774175127755	3.34016277752419	0.000837292981207935	0.0659540393335913
22873	1115.61701164772	0.168055476505554	0.0502988353185786	3.34114051431088	0.000834349853559416	0.0659540393335913
26119	935.404699317468	-0.180332702263038	0.0542632582179096	-3.32329292758022	0.000889614432850003	0.0697733802592183
80017	411.738709066463	0.336036680202399	0.101168482868827	3.32155500086029	0.000895173373464636	0.0699080459380366
2632	3519.57792937258	0.25081541727183	0.0756426238380459	3.31579478005465	0.000913829079709238	0.0707575912101672
9134	76.9314652293404	-0.425879155575873	0.128420853809498	-3.31627724736692	0.000912252788906235	0.0707575912101672
201163	666.665562003838	0.388654238175423	0.117309495155465	3.31306717892152	0.000922788120619071	0.0708483233872768
554235	7.93600237630856	1.07118323142784	0.323314252419489	3.31313334754578	0.000922569824246267	0.0708483233872768
176	1570.38715905298	-2.10761959078105	0.637363508161829	-3.30677794349958	0.00094375672233056	0.0718518716298195
146198	910.716997865409	0.185454592387909	0.0560681947273027	3.30766120239647	0.000940785490342399	0.0718518716298195
84955	419.67534398074	-0.300919843031385	0.0911161649540328	-3.3025955732794	0.000957944374144796	0.0722077976950048
3309	15437.8038724902	-0.280686850151899	0.085007780614789	-3.30189599260126	0.000960336724675267	0.0722077976950048
107984200	13.5200919697259	0.915486611156167	0.277101906539693	3.30379037296529	0.000953871287296067	0.0722077976950048
8605	80.3467649345095	0.732614098798483	0.222088790853806	3.29874414634794	0.000971183850389021	0.0727228861797474
29068	966.886505396165	0.314051728776347	0.095305016407354	3.29522768700886	0.000983419643991724	0.0733373108281697
54361	13.9803993089447	-1.23951613527834	0.376534081028771	-3.29190954479265	0.000995096121900276	0.0736047521711277
7170	6987.7288704744	-0.214193986086516	0.0650554141139092	-3.29248516828241	0.000993061355849865	0.0736047521711277
28989	521.563142314403	-0.368522757250414	0.112122522029641	-3.28678619227803	0.00101337742737357	0.0738094302135178
10580	146.508800549308	-0.816135167977019	0.248322886672792	-3.28658859806352	0.00101408867626838	0.0738094302135178
120	4228.299690688	0.320400278842061	0.0974644567719824	3.28735509798855	0.00101133220448389	0.0738094302135178
6721	2783.91945160316	0.22966195427005	0.0698671185717789	3.28712503055502	0.00101215883910347	0.0738094302135178
6890	589.042418989561	0.201421219441342	0.0613995077289225	3.28050218791024	0.00103622461097085	0.0751200917180303
